AnimalID,AnimalType,Intake Date,IntakeYear,IntakeMonth,Name,Breed,Estimated Age,Sex,SpayNeuter,Size,Color,IntakeType,Outcome Type,Outcome Subtype,Zip Where Found,Latitude,Longitude,Zip Where Placed,OutcomeDate,OutcomeYear,OutcomeMonth
A448607,CAT,2011-12-01T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,Infant - Younger than 6 months,MALE,FALSE,KITTN,BRN TABBY,Stray,Transferred to Rescue Group,Rescue Group,40212,38.2663,-85.8,40031,2011-12-21T00:00:00Z,2011,December
A448609,DOG,2011-12-01T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,UNKNOWN,FEMALE,FALSE,MED,BLACK,Stray,Euthanized,Behavior,40211,38.2414,-85.8118,UNKNOWN,2011-12-06T00:00:00Z,2011,December
A448610,DOG,2011-12-01T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,UNKNOWN,MALE,FALSE,LARGE,WHITE,Stray,Euthanized,Behavior,40211,38.2414,-85.8118,UNKNOWN,2011-12-06T00:00:00Z,2011,December
A448611,DOG,2011-12-01T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,UNKNOWN,FEMALE,FALSE,MED,BROWN,Stray,Euthanized,Behavior,40211,38.2414,-85.8118,UNKNOWN,2011-12-06T00:00:00Z,2011,December
A448612,DOG,2011-12-01T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,UNKNOWN,FEMALE,FALSE,MED,BR BRINDLE,Stray,Euthanized,Behavior,40211,38.2414,-85.8118,UNKNOWN,2011-12-06T00:00:00Z,2011,December
A448613,CAT,2011-12-01T00:00:00Z,2011,December,RAY LEE,UNKNOWN,Youth - Younger than 1 year,MALE,TRUE,MED,ORG TABBY,Stray,Adopted,Web PF,40203,38.2481,-85.7665,40272,2012-02-08T00:00:00Z,2012,February
A448614,CAT,2011-12-01T00:00:00Z,2011,December,JAMES GORDON,UNKNOWN,Older than 1 year,MALE,TRUE,LARGE,WHITE,Stray,Adopted,Web PF,40059,38.3509,-85.6004,40218,2012-03-06T00:00:00Z,2012,March
A448615,DOG,2011-12-01T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,Infant - Younger than 6 months,MALE,FALSE,PUPPY,BROWN,Owner Surrender,Euthanized,Requested,40291,38.1472,-85.5917,UNKNOWN,2011-12-01T00:00:00Z,2011,December
A448616,DOG,2011-12-01T00:00:00Z,2011,December,CHANCE,AUST SHEPHERD - MIX,Infant - Younger than 6 months,MALE,FALSE,PUPPY,BR BRINDLE,Stray,Transferred to Rescue Group,Rescue Waggin,40212,38.2663,-85.8,UNKNOWN,2011-12-22T00:00:00Z,2011,December
A448617,CAT,2011-12-01T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,UNKNOWN,MALE,FALSE,LARGE,GRAY,Stray,Euthanized,Medical,40218,38.1938,-85.6573,UNKNOWN,2011-12-12T00:00:00Z,2011,December
